acceleration;frequency;boost;sensor;source_file;axis;Optimal_k;error_%;new_error_%;source_filename
2,6288235427;25;2.5;2;S;Y;0,9500000000;2,3;0,0467434721;2-s 25hz 2.5.csv
4,2098550115;25;4;2;S;Y;0,9500000000;3,75;0,0113881978;2-s 25hz 4.csv
5,8897145173;25;5.6;2;S;Y;0,9500000000;5,17;0,0852001529;2-s 25hz 5.6.csv
0,1029925442;32;0.098;2;S;Y;0,9995000000;0,09;0,0882329987;2-s 32hz 0.098.csv
1,0142946743;32;1;2;S;Y;0,9995000000;0,26;0,2462058386;2-s 32hz 1.csv
2,4988740636;32;2.5;2;S;Y;0,9995000000;0,02;0,0424173827;2-s 32hz 2.5.csv
3,9977354946;32;4;2;S;Y;0,9995000000;0,04;0,0761316633;2-s 32hz 4.csv
5,5891719009;32;5.6;2;S;Y;0,9995000000;0,19;0,2432622330;2-s 32hz 5.6.csv
0,1036242402;10;0.1;1;S;Z;0,9729000000;0,06;0,0145718445;1-S 10HZ 0.1.csv
1,0290653112;10;1;1;S;Z;0,9729000000;0,52;0,0210293083;1-S 10HZ 1.csv
2,5702678305;10;2.5;1;S;Z;0,9729000000;1,25;0,0109566481;1-S 10HZ 2.5.csv
4,1103926853;10;4;1;S;Z;0,9729000000;1,97;0,0178385084;1-S 10HZ 4.csv
5,7557647036;10;5.6;1;S;Z;0,9729000000;2,78;0,0038664262;1-S 10HZ 5.6.csv
0,1141777647;16;0.1;1;S;Z;0,9800000000;0,25;0,2123965965;1-S 16HZ 0.1.csv
1,0197586497;16;1;1;S;Z;0,9800000000;0,35;0,0113664874;1-S 16HZ 1.csv
2,5414255604;16;2.5;1;S;Z;0,9800000000;0,74;0,1679098359;1-S 16HZ 2.5.csv
5,7021419011;16;5.6;1;S;Z;0,9800000000;1,82;0,2125167308;1-S 16HZ 5.6.csv
0,1055655977;25;0.1;1;S;Z;0,9966000000;0,1;0,0929763334;1-S 25HZ 0.1.csv
1,0078930030;25;1;1;S;Z;0,9966000000;0,14;0,0797529784;1-S 25HZ 1.csv
2,5066009392;25;2.5;1;S;Z;0,9966000000;0,12;0,0343125713;1-S 25HZ 2.5.csv
4,0087681573;25;4;1;S;Z;0,9966000000;0,16;0,0868152578;1-S 25HZ 4.csv
5,6172804212;25;5.6;1;S;Z;0,9966000000;0,31;0,0324702184;1-S 25HZ 5.6.csv
1,0066538943;32;1;1;S;Z;1,0142000000;0,12;0,3740782071;1-S 32HZ 1.csv
3,9288045161;32;4;1;S;Z;1,0142000000;1,27;0,2751153531;1-S 32HZ 4.csv
5,5013858648;32;5.6;1;S;Z;1,0142000000;1,76;0,3659724271;1-S 32HZ 5.6.csv
0,1058085294;10;0.1;2;S;Z;0,9585000000;0,1;0,0253120612;2-S 10HZ 0.1.csv
1,0449965048;10;1;2;S;Z;0,9585000000;0,8;0,0290919616;2-S 10HZ 1.csv
2,6094818974;10;2.5;2;S;Z;0,9585000000;1,96;0,0212214046;2-S 10HZ 2.5.csv
4,1718426652;10;4;2;S;Z;0,9585000000;3,07;0,0230143822;2-S 10HZ 4.csv
5,8414292553;10;5.6;2;S;Z;0,9585000000;4,31;0,0176796213;2-S 10HZ 5.6.csv
0,1164601923;16;0.1;2;S;Z;0,9667000000;0,29;0,2246797839;2-S 16HZ 0.1.csv
1,0357456630;16;1;2;S;Z;0,9667000000;0,64;0,0224166504;2-S 16HZ 1.csv
